gia,dienTich,giaMoiM2,soPhongNgu,soWC,phuong,quan
8.15,86.0,94.77,2,2,Trung Hòa,Cầu Giấy
7.25,107.7,67.32,3,2,Dịch Vọng Hậu,Cầu Giấy
7.5,110.7,67.75,3,2,Trung Hòa,Cầu Giấy
8.5,97.4,87.27,3,2,Dịch Vọng,Cầu Giấy
8.6,130.5,65.9,3,2,Yên Hòa,Cầu Giấy
7.0,119.0,58.82,3,2,Trung Hòa,Cầu Giấy
7.85,135.0,58.15,4,2,Trung Hòa,Cầu Giấy
5.5,82.0,67.07,2,2,Yên Hòa,Cầu Giấy
8.1,120.7,67.11,4,2,Trung Hòa,Cầu Giấy
5.8,94.5,61.38,3,2,Yên Hòa,Cầu Giấy
9.0,146.0,61.64,3,3,Trung Hòa,Cầu Giấy
6.3,114.0,55.26,3,2,Yên Hòa,Cầu Giấy
8.3,135.0,61.48,4,2,Yên Hòa,Cầu Giấy
7.0,98.4,71.14,2,2,Dịch Vọng,Cầu Giấy
7.0,98.4,71.14,2,2,Dịch Vọng,Cầu Giấy
3.96,60.0,66.0,2,1,Nghĩa Tân,Cầu Giấy
8.0,139.44,57.37,3,2,Trung Hòa,Cầu Giấy
8.1,149.6,54.14,3,2,Yên Hòa,Cầu Giấy
7.5,120.0,62.5,3,2,Yên Hòa,Cầu Giấy
6.3,80.0,78.75,3,2,Yên Hòa,Cầu Giấy
7.0,109.0,64.22,3,2,Dịch Vọng,Cầu Giấy
11.8,161.9,72.88,4,3,Trung Hòa,Cầu Giấy
7.6,100.0,76.0,2,2,Yên Hòa,Cầu Giấy
7.3,110.0,66.36,3,2,Yên Hòa,Cầu Giấy
2.8,43.93,63.74,1,1,Yên Hòa,Cầu Giấy
8.5,95.0,89.47,3,2,Yên Hòa,Cầu Giấy
8.15,134.4,60.64,4,2,Yên Hòa,Cầu Giấy
5.65,88.0,64.2,2,2,Dịch Vọng Hậu,Cầu Giấy
7.5,112.0,66.96,3,2,Trung Hòa,Cầu Giấy
7.0,98.0,71.43,2,2,Yên Hòa,Cầu Giấy
